剧本编号,剧本名字,叙事模式ID,叙事模式名称,英文名称,场次数,五阶段强度曲线,五阶段主冲突,峰值阶段,峰值强度(%),强度振幅,场次波动次数,局部峰值数,判定依据,置信度,关键证据场次
01004006,辕门射戟,M03,多峰波折型,The Rollercoaster,4,41-24-71-71-82,开端:敌我攻守；发展:敌我攻守；转折:骨肉伦理；高潮:骨肉伦理；结局:敌我攻守,结局,82.0,58.0,1,0,五阶段显著峰值2个、阶段方向切换1次，振幅58.0点。,0.86,"开端:第一场(敌我攻守,41%)；发展:第二场(敌我攻守,24%)；转折:第三场(骨肉伦理,71%)；高潮:第三场(骨肉伦理,71%)；结局:第四场(敌我攻守,82%)"
01004007,取荥阳,M05,开端爆发型,In Medias Res,4,64-61-41-41-55,开端:敌我攻守；发展:骨肉伦理；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,64.0,23.0,1,0,峰值出现在开端(64.0)，高于后续平均14.5点。,0.82,"开端:第一场(敌我攻守,64%)；发展:第二场(骨肉伦理,61%)；转折:第三场(敌我攻守,41%)；高潮:第三场(敌我攻守,41%)；结局:第四场(敌我攻守,55%)"
01004008,大保国,M08,独场凝缩型,The Condensed One-scene,1,57-57-57-57-57,开端:君臣撕裂；发展:君臣撕裂；转折:君臣撕裂；高潮:君臣撕裂；结局:君臣撕裂,开端,57.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(君臣撕裂,57%)；发展:独场(君臣撕裂,57%)；转折:独场(君臣撕裂,57%)；高潮:独场(君臣撕裂,57%)；结局:独场(君臣撕裂,57%)"
01004009,忠孝全,M04,单峰转折型,The Early Climax / Anti-climax,5,44-66-42-62-51,开端:敌我攻守；发展:敌我攻守；转折:君臣撕裂；高潮:骨肉伦理；结局:骨肉伦理,发展,66.0,24.0,3,2,峰值提前在发展(66.0)，后续未形成更高增量。,0.84,"开端:第一场(敌我攻守,44%)；发展:第二场(敌我攻守,66%)；转折:第三场(君臣撕裂,42%)；高潮:第四场(骨肉伦理,62%)；结局:第五场(骨肉伦理,51%)"
01004010,双投唐,M04,单峰转折型,The Early Climax / Anti-climax,14,47-50.3-67-53.2-50,开端:敌我攻守；发展:骨肉伦理；转折:骨肉伦理；高潮:敌我攻守；结局:敌我攻守,转折,67.0,20.0,5,2,峰值提前在转折(67.0)，后续未形成更高增量。,0.84,"开端:第一场(敌我攻守,47%)；发展:第三场(敌我攻守,64%)；转折:第八场(骨肉伦理,67%)；高潮:第九场(敌我攻守,80%)；结局:第十三场(敌我攻守,57%)"
01004011,飞虎山,M06,结尾爆发型,The Final Reveal,4,38-46-44-44-75,开端:骨肉伦理；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:骨肉伦理,结局,75.0,37.0,0,0,峰值出现在结局(75.0)，高于前四阶段平均32.0点。,0.83,"开端:第一场(骨肉伦理,38%)；发展:第二场(敌我攻守,46%)；转折:第三场(敌我攻守,44%)；高潮:第三场(敌我攻守,44%)；结局:第四场(骨肉伦理,75%)"
01004012,女起解,M03,多峰波折型,The Rollercoaster,3,72-26-75-26-75,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,转折,75.0,49.0,1,0,五阶段显著峰值3个、阶段方向切换3次，振幅49.0点。,0.86,"开端:第一场(骨肉伦理,72%)；发展:第二场(骨肉伦理,26%)；转折:第三场(骨肉伦理,75%)；高潮:第二场(骨肉伦理,26%)；结局:第三场(骨肉伦理,75%)"
01004014,遗翠花,M03,多峰波折型,The Rollercoaster,3,74-25-62-25-62,开端:骨肉伦理；发展:情爱婚恋；转折:骨肉伦理；高潮:情爱婚恋；结局:骨肉伦理,开端,74.0,49.0,1,0,五阶段显著峰值3个、阶段方向切换3次，振幅49.0点。,0.86,"开端:第一场(骨肉伦理,74%)；发展:第二场(情爱婚恋,25%)；转折:第三场(骨肉伦理,62%)；高潮:第二场(情爱婚恋,25%)；结局:第三场(骨肉伦理,62%)"
01004015,新安驿,M05,开端爆发型,In Medias Res,3,62-60-28-60-28,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,62.0,34.0,0,0,峰值出现在开端(62.0)，高于后续平均18.0点。,0.82,"开端:第一场(骨肉伦理,62%)；发展:第二场(骨肉伦理,60%)；转折:第三场(骨肉伦理,28%)；高潮:第二场(骨肉伦理,60%)；结局:第三场(骨肉伦理,28%)"
01004016,小上坟,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:肢体冲突；发展:肢体冲突；转折:肢体冲突；高潮:肢体冲突；结局:肢体冲突,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(肢体冲突,62%)；发展:第一场(肢体冲突,62%)；转折:第一场(肢体冲突,62%)；高潮:第一场(肢体冲突,62%)；结局:第一场(肢体冲突,62%)"
01005001,武家坡,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(骨肉伦理,76%)；发展:第一场(骨肉伦理,76%)；转折:第一场(骨肉伦理,76%)；高潮:第一场(骨肉伦理,76%)；结局:第一场(骨肉伦理,76%)"
01005002,浣纱记,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(骨肉伦理,62%)；发展:第一场(骨肉伦理,62%)；转折:第一场(骨肉伦理,62%)；高潮:第一场(骨肉伦理,62%)；结局:第一场(骨肉伦理,62%)"
01005003,天雷报,M07,平缓铺陈型,The Low-tension Episodic,6,62-61-45-62-52,开端:骨肉伦理；发展:骨肉伦理；转折:忠义抉择；高潮:骨肉伦理；结局:敌我攻守,开端,62.0,17.0,2,1,五阶段振幅17.0点，阶段强度差异较小。,0.78,"开端:第一场(骨肉伦理,62%)；发展:第二场(骨肉伦理,61%)；转折:第三场(忠义抉择,45%)；高潮:第五场(骨肉伦理,74%)；结局:第六场(敌我攻守,52%)"
01005005,沙陀国,M03,多峰波折型,The Rollercoaster,5,36-42-66-37-64,开端:敌我攻守；发展:君臣撕裂；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,转折,66.0,30.0,2,1,五阶段显著峰值2个、阶段方向切换2次，振幅30.0点。,0.86,"开端:第一场(敌我攻守,36%)；发展:第二场(君臣撕裂,42%)；转折:第三场(骨肉伦理,66%)；高潮:第四场(骨肉伦理,37%)；结局:第五场(骨肉伦理,64%)"
01005006,六月雪,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(骨肉伦理,64%)；发展:第一场(骨肉伦理,64%)；转折:第一场(骨肉伦理,64%)；高潮:第一场(骨肉伦理,64%)；结局:第一场(骨肉伦理,64%)"
01005007,二进宫,M08,独场凝缩型,The Condensed One-scene,1,54-54-54-54-54,开端:君臣撕裂；发展:君臣撕裂；转折:君臣撕裂；高潮:君臣撕裂；结局:君臣撕裂,开端,54.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(君臣撕裂,54%)；发展:独场(君臣撕裂,54%)；转折:独场(君臣撕裂,54%)；高潮:独场(君臣撕裂,54%)；结局:独场(君臣撕裂,54%)"
01005008,玉堂春,M08,独场凝缩型,The Condensed One-scene,1,53-53-53-53-53,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,53.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,53%)；发展:独场(骨肉伦理,53%)；转折:独场(骨肉伦理,53%)；高潮:独场(骨肉伦理,53%)；结局:独场(骨肉伦理,53%)"
01005009,孝感天,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(骨肉伦理,56%)；发展:第一场(骨肉伦理,56%)；转折:第一场(骨肉伦理,56%)；高潮:第一场(骨肉伦理,56%)；结局:第一场(骨肉伦理,56%)"
01005010,御碑亭,M06,结尾爆发型,The Final Reveal,13,37-51.6-67-62.5-68.5,开端:君臣撕裂；发展:骨肉伦理；转折:神怪显灵；高潮:骨肉伦理；结局:骨肉伦理,结局,68.5,31.5,8,3,峰值出现在结局(68.5)，高于前四阶段平均14.0点。,0.83,"开端:第一场(君臣撕裂,37%)；发展:第四场(骨肉伦理,67%)；转折:第七场(神怪显灵,67%)；高潮:第九场(骨肉伦理,73%)；结局:第十三场(骨肉伦理,76%)"
01005011,回荆州,M04,单峰转折型,The Early Climax / Anti-climax,16,50-55.9-77-58-60,开端:骨肉伦理；发展:君臣撕裂；转折:君臣撕裂；高潮:敌我攻守；结局:敌我攻守,转折,77.0,27.0,13,7,峰值提前在转折(77.0)，后续未形成更高增量。,0.84,"开端:第一场(骨肉伦理,50%)；发展:第八场(君臣撕裂,74%)；转折:第十场(君臣撕裂,77%)；高潮:第十四场(敌我攻守,89%)；结局:第十六场(敌我攻守,64%)"
01005012,海潮珠,M07,平缓铺陈型,The Low-tension Episodic,7,54-48.5-47-47-56,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:敌我攻守；结局:敌我攻守,结局,56.0,9.0,4,1,五阶段振幅9.0点，阶段强度差异较小。,0.78,"开端:第一场(骨肉伦理,54%)；发展:第二场(骨肉伦理,55%)；转折:第四场(骨肉伦理,47%)；高潮:第六场(敌我攻守,65%)；结局:第七场(敌我攻守,56%)"
01005013,双摇会,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(骨肉伦理,60%)；发展:第一场(骨肉伦理,60%)；转折:第一场(骨肉伦理,60%)；高潮:第一场(骨肉伦理,60%)；结局:第一场(骨肉伦理,60%)"
01005014,胭脂虎,M04,单峰转折型,The Early Climax / Anti-climax,5,46-69-60-26-61,开端:骨肉伦理；发展:骨肉伦理；转折:敌我攻守；高潮:骨肉伦理；结局:骨肉伦理,发展,69.0,43.0,2,1,峰值提前在发展(69.0)，后续未形成更高增量。,0.84,"开端:第一场(骨肉伦理,46%)；发展:第二场(骨肉伦理,69%)；转折:第三场(敌我攻守,60%)；高潮:第四场(骨肉伦理,26%)；结局:第五场(骨肉伦理,61%)"
01005015,审李七,M08,独场凝缩型,The Condensed One-scene,1,54-54-54-54-54,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,54.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,54%)；发展:独场(骨肉伦理,54%)；转折:独场(骨肉伦理,54%)；高潮:独场(骨肉伦理,54%)；结局:独场(骨肉伦理,54%)"
01005016,大劈棺,M03,多峰波折型,The Rollercoaster,3,47-80-40-80-40,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,发展,80.0,40.0,1,1,五阶段显著峰值2个、阶段方向切换3次，振幅40.0点。,0.86,"开端:第一场(骨肉伦理,47%)；发展:第二场(骨肉伦理,80%)；转折:第三场(骨肉伦理,40%)；高潮:第二场(骨肉伦理,80%)；结局:第三场(骨肉伦理,40%)"
01005017,柳林池,M08,独场凝缩型,The Condensed One-scene,1,57-57-57-57-57,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,57.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,57%)；发展:独场(骨肉伦理,57%)；转折:独场(骨肉伦理,57%)；高潮:独场(骨肉伦理,57%)；结局:独场(骨肉伦理,57%)"
01006001,连营寨,M05,开端爆发型,In Medias Res,18,79-60.2-40-48.3-56,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,79.0,39.0,8,3,峰值出现在开端(79.0)，高于后续平均27.9点。,0.82,"开端:第一场(敌我攻守,79%)；发展:第八场(骨肉伦理,79%)；转折:第十场(敌我攻守,40%)；高潮:第十三场(敌我攻守,59%)；结局:第十七场(敌我攻守,68%)"
01006002,战长沙,M06,结尾爆发型,The Final Reveal,11,14-50-52-34.3-73.5,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,结局,73.5,59.5,6,3,峰值出现在结局(73.5)，高于前四阶段平均35.9点。,0.83,"开端:第一场(敌我攻守,14%)；发展:第四场(敌我攻守,70%)；转折:第六场(敌我攻守,52%)；高潮:第七场(敌我攻守,42%)；结局:第十一场(忠义抉择,78%)"
01006003,草桥关,M07,平缓铺陈型,The Low-tension Episodic,7,59-45-45-54.5-49,开端:君臣撕裂；发展:敌我攻守；转折:君臣撕裂；高潮:骨肉伦理；结局:君臣撕裂,开端,59.0,14.0,4,1,五阶段振幅14.0点，阶段强度差异较小。,0.78,"开端:第一场(君臣撕裂,59%)；发展:第二场(敌我攻守,64%)；转折:第四场(君臣撕裂,45%)；高潮:第五场(骨肉伦理,65%)；结局:第七场(君臣撕裂,49%)"
01006004,九更天,M03,多峰波折型,The Rollercoaster,7,23-65-80-51-70,开端:忠义抉择；发展:骨肉伦理；转折:骨肉伦理；高潮:肢体冲突；结局:骨肉伦理,转折,80.0,57.0,4,2,五阶段显著峰值2个、阶段方向切换2次，振幅57.0点。,0.86,"开端:第一场(忠义抉择,23%)；发展:第二场(骨肉伦理,74%)；转折:第四场(骨肉伦理,80%)；高潮:第六场(忠义抉择,67%)；结局:第七场(骨肉伦理,70%)"
01006005,状元谱,M03,多峰波折型,The Rollercoaster,3,18-73-86-73-86,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,转折,86.0,68.0,0,0,五阶段显著峰值2个、阶段方向切换2次，振幅68.0点。,0.86,"开端:第一场(骨肉伦理,18%)；发展:第二场(骨肉伦理,73%)；转折:第三场(骨肉伦理,86%)；高潮:第二场(骨肉伦理,73%)；结局:第三场(骨肉伦理,86%)"
01006006,叹皇陵,M08,独场凝缩型,The Condensed One-scene,1,44-44-44-44-44,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,44.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(敌我攻守,44%)；发展:独场(敌我攻守,44%)；转折:独场(敌我攻守,44%)；高潮:独场(敌我攻守,44%)；结局:独场(敌我攻守,44%)"
01006007,定军山,M05,开端爆发型,In Medias Res,21,58-57.9-29-44-46.3,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:忠义抉择,开端,58.0,29.0,13,6,峰值出现在开端(58.0)，高于后续平均13.7点。,0.82,"开端:第一场(敌我攻守,58%)；发展:第九场(敌我攻守,71%)；转折:第十一场(敌我攻守,29%)；高潮:第十三场(忠义抉择,63%)；结局:第十九场(敌我攻守,60%)"
01006008,宝莲灯,M05,开端爆发型,In Medias Res,4,89-80-0-0-63,开端:骨肉伦理；发展:骨肉伦理；转折:神怪显灵；高潮:神怪显灵；结局:骨肉伦理,开端,89.0,89.0,1,0,峰值出现在开端(89.0)，高于后续平均53.2点。,0.82,"开端:第一场(骨肉伦理,89%)；发展:第二场(骨肉伦理,80%)；转折:第三场(神怪显灵,0%)；高潮:第三场(神怪显灵,0%)；结局:第四场(骨肉伦理,63%)"
01006009,连环套,M03,多峰波折型,The Rollercoaster,5,69-38-41-68-17,开端:骨肉伦理；发展:关系转折；转折:情绪爆发；高潮:敌我攻守；结局:骨肉伦理,开端,69.0,52.0,2,1,五阶段显著峰值2个、阶段方向切换2次，振幅52.0点。,0.86,"开端:第一场(骨肉伦理,69%)；发展:第二场(关系转折,38%)；转折:第三场(情绪爆发,41%)；高潮:第四场(敌我攻守,68%)；结局:第五场(骨肉伦理,17%)"
01006010,落马湖,M03,多峰波折型,The Rollercoaster,9,72-61-29-49.7-68,开端:敌我攻守；发展:敌我攻守；转折:骨肉伦理；高潮:敌我攻守；结局:敌我攻守,开端,72.0,43.0,4,1,五阶段显著峰值2个、阶段方向切换1次，振幅43.0点。,0.86,"开端:第一场(敌我攻守,72%)；发展:第二场(敌我攻守,82%)；转折:第五场(骨肉伦理,29%)；高潮:第六场(骨肉伦理,54%)；结局:第九场(敌我攻守,68%)"
01006011,花田错,M04,单峰转折型,The Early Climax / Anti-climax,9,47-37.7-76-54-50,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,转折,76.0,38.33,4,2,峰值提前在转折(76.0)，后续未形成更高增量。,0.84,"开端:第一场(骨肉伦理,47%)；发展:第二场(骨肉伦理,59%)；转折:第五场(骨肉伦理,76%)；高潮:第七场(骨肉伦理,61%)；结局:第九场(骨肉伦理,50%)"
01006012,梵王宫,M03,多峰波折型,The Rollercoaster,3,16-89-73-89-73,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,发展,89.0,73.0,1,1,五阶段显著峰值2个、阶段方向切换3次，振幅73.0点。,0.86,"开端:第一场(骨肉伦理,16%)；发展:第二场(骨肉伦理,89%)；转折:第三场(骨肉伦理,73%)；高潮:第二场(骨肉伦理,89%)；结局:第三场(骨肉伦理,73%)"
01006013,孝义节,M03,多峰波折型,The Rollercoaster,4,39-74-53-53-73,开端:骨肉伦理；发展:骨肉伦理；转折:神怪显灵；高潮:神怪显灵；结局:骨肉伦理,发展,74.0,35.0,2,1,五阶段显著峰值2个、阶段方向切换2次，振幅35.0点。,0.86,"开端:第一场(骨肉伦理,39%)；发展:第二场(骨肉伦理,74%)；转折:第三场(神怪显灵,53%)；高潮:第三场(神怪显灵,53%)；结局:第四场(骨肉伦理,73%)"
01006014,金水桥,M08,独场凝缩型,The Condensed One-scene,1,61-61-61-61-61,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,61.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,61%)；发展:独场(骨肉伦理,61%)；转折:独场(骨肉伦理,61%)；高潮:独场(骨肉伦理,61%)；结局:独场(骨肉伦理,61%)"
01006015,罗成托梦,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(敌我攻守,62%)；发展:第一场(敌我攻守,62%)；转折:第一场(敌我攻守,62%)；高潮:第一场(敌我攻守,62%)；结局:第一场(敌我攻守,62%)"
